"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"
"2009-12-29T12:50:59"	"1262091059"	"Painted dream"	"215ba1b5-724b-4e0d-af82-877a3466bb5f"	"The Dada Weatherman"	"cb974849-8230-483f-869e-643528bb3565"	"Painted dream"	"215ba1b5-724b-4e0d-af82-877a3466bb5f"	"The Dada Weatherman"	"cb974849-8230-483f-869e-643528bb3565"
"2010-05-08T08:06:23"	"1273305983"	"Pieprzę cię miasto"	"ce632d9d-f29b-4ad4-ae3b-8aa20585d32b"	"Maria Peszek"	"887871f9-3df3-425c-a5b3-90c4d7862190"	"Pieprzę cię miasto"	"ce632d9d-f29b-4ad4-ae3b-8aa20585d32b"	"Maria Peszek"	"887871f9-3df3-425c-a5b3-90c4d7862190"
"2010-05-08T12:50:23"	"1273323023"	"Огни"	"8e1c1758-64d7-4ea3-90a2-54e54cf2f4f9"	"Пляж"	"0ec23772-bded-4aac-8682-bbdff9901e23"	"Огни"	"8e1c1758-64d7-4ea3-90a2-54e54cf2f4f9"	"Пляж"	"0ec23772-bded-4aac-8682-bbdff9901e23"
"2010-05-08T13:13:51"	"1273324431"	"Не любовь"	""	"Marakesh"	"0f5b0265-83ea-4e30-a880-58443e7ef4d6"	"Не Любовь"	""	"Marakesh"	"0f5b0265-83ea-4e30-a880-58443e7ef4d6"
"2010-05-08T19:47:55"	"1273348075"	"至少还有你"	""	"Super Junior M"	"b74d87aa-8da3-4c51-863b-30362686f8ec"	"至少还有你"	""	"Super Junior M"	"b74d87aa-8da3-4c51-863b-30362686f8ec"
"2010-05-17T15:30:19"	"1274110219"	"Высоко"	"72b19094-c00f-4761-b6b3-d6c88867d318"	"Юлия Савичева"	"4382d29e-5955-4bfe-a9fa-d51ee6d33c1f"	"Высоко"	"72b19094-c00f-4761-b6b3-d6c88867d318"	"Юлия Савичева"	"4382d29e-5955-4bfe-a9fa-d51ee6d33c1f"
"2010-05-17T17:29:27"	"1274117367"	"I Love a Magician"	"4c193785-16c2-4744-9de5-d1685f3dc02f"	"The Dismemberment Plan"	"1131e5da-dfdf-46c9-b6ff-b7ac552c2a3c"	"I Love a Magician"	"4c193785-16c2-4744-9de5-d1685f3dc02f"	"The Dismemberment Plan"	"1131e5da-dfdf-46c9-b6ff-b7ac552c2a3c"
"2010-06-21T19:06:39"	"1277147199"	"Stop"	"ce996249-88c5-487d-92d7-393df2a3476a"	"Spice Girls"	"bf0caafc-2b20-4e07-ab85-87e14ff430ce"	"Stop"	"ce996249-88c5-487d-92d7-393df2a3476a"	"Spice Girls"	"bf0caafc-2b20-4e07-ab85-87e14ff430ce"
"2010-06-21T20:18:46"	"1277151526"	"Viva Forever"	"a28867d8-a206-4e32-9f45-7a806cc90c33"	"Spice Girls"	"bf0caafc-2b20-4e07-ab85-87e14ff430ce"	"Viva Forever"	"a28867d8-a206-4e32-9f45-7a806cc90c33"	"Spice Girls"	"bf0caafc-2b20-4e07-ab85-87e14ff430ce"
"2010-06-28T20:16:18"	"1277756178"	"Wannabe"	"0d6b001d-48c7-42f1-b617-ae0e3781eaa5"	"Spice Girls"	"bf0caafc-2b20-4e07-ab85-87e14ff430ce"	"Wannabe"	"0d6b001d-48c7-42f1-b617-ae0e3781eaa5"	"Spice Girls"	"bf0caafc-2b20-4e07-ab85-87e14ff430ce"
