"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"2009-04-08T14:33:15"	"1239201195"	"Other Side of the World"	"b889ca2c-da06-4d71-ae26-393598ef9ce2"	"KT Tunstall"	"951d2103-9c7d-4849-ae60-88bf6aa4790b"	"Other Side of the World"	"b889ca2c-da06-4d71-ae26-393598ef9ce2"	"KT Tunstall"	"951d2103-9c7d-4849-ae60-88bf6aa4790b"	"Eye to the Telescope"	"0fa46ccc-b5e0-4729-827e-244a7eff3afe"	"KT Tunstall"	"951d2103-9c7d-4849-ae60-88bf6aa4790b"
"2009-04-08T14:33:17"	"1239201197"	"Let It Be Me"	"4e5c73ea-b15e-4e78-b54c-602047c18644"	"Ray LaMontagne"	"99a2d404-d086-4800-93f9-3064688502d0"	"Let It Be Me"	"4e5c73ea-b15e-4e78-b54c-602047c18644"	"Ray LaMontagne"	"99a2d404-d086-4800-93f9-3064688502d0"	""	""	""	""
"2009-04-09T10:15:58"	"1239272158"	"1973"	"c584858b-84e3-48dd-a668-565a529abda2"	"James Blunt"	"e959c338-258b-4d0f-a91a-cb6b9b7f738c"	"1973"	"c584858b-84e3-48dd-a668-565a529abda2"	"James Blunt"	"e959c338-258b-4d0f-a91a-cb6b9b7f738c"	"All the Lost Souls"	"98e50cf6-06fd-4259-8128-ea60972808fa"	"James Blunt"	"e959c338-258b-4d0f-a91a-cb6b9b7f738c"
"2009-04-09T10:16:00"	"1239272160"	"Shiver"	"b46e10fc-a041-4821-a897-60db491146e6"	"Maroon 5"	"0ab49580-c84f-44d4-875f-d83760ea2cfe"	"Shiver"	"b46e10fc-a041-4821-a897-60db491146e6"	"Maroon 5"	"0ab49580-c84f-44d4-875f-d83760ea2cfe"	"Songs About Jane"	"15e1342b-67c4-3d19-b099-da88051a0c72"	"Maroon 5"	"0ab49580-c84f-44d4-875f-d83760ea2cfe"
"2009-04-09T11:00:17"	"1239274817"	"Fight the Power"	"09ecf0f1-dd40-4a44-bc63-1274368036b9"	"Public Enemy"	"897aa895-896d-4ae5-bf87-c50b55e05859"	"Fight the Power"	"09ecf0f1-dd40-4a44-bc63-1274368036b9"	"Public Enemy"	"897aa895-896d-4ae5-bf87-c50b55e05859"	"Fear of a Black Planet"	"2008b944-cc17-3ad1-92f3-8ca7c8078f48"	"Public Enemy"	"897aa895-896d-4ae5-bf87-c50b55e05859"
"2009-04-12T16:29:09"	"1239553749"	"Piece of Me"	""	"Britney Spears"	"2f4f5d16-7102-4110-97fd-f5c365d6bb26"	"Piece of Me"	""	"Britney Spears"	"2f4f5d16-7102-4110-97fd-f5c365d6bb26"	"Blackout"	"0055dbfb-9bf5-45d3-9c11-069128ee9212"	"Britney Spears"	"2f4f5d16-7102-4110-97fd-f5c365d6bb26"
"2009-04-12T16:43:57"	"1239554637"	"The Wonders of You"	"03446110-bac3-4c31-a219-4faa02ed490a"	"Andy Hunter°"	"950e5ae2-2d7d-46de-9ed8-5e9d5617bbab"	"The Wonders Of You"	"b6826868-3b82-47d1-82cb-063a1bc035ad"	"Andy Hunter"	"49f189c4-dd9b-4758-b220-a1990b205537"	"Exodus"	""	"Andy Hunter"	"49f189c4-dd9b-4758-b220-a1990b205537"
"2009-04-12T16:44:06"	"1239554646"	"Invisible"	"2d9d53d0-356b-408d-b7fd-ed5f6a695e94"	"Hotwire"	"894a3373-f7d7-497c-aee4-3c31af7c40a3"	"Invisible"	"2d9d53d0-356b-408d-b7fd-ed5f6a695e94"	"Hotwire"	"894a3373-f7d7-497c-aee4-3c31af7c40a3"	"The Routine"	"82468545-e20f-44bb-b48f-c81089acbe16"	"Hotwire"	"894a3373-f7d7-497c-aee4-3c31af7c40a3"
"2009-04-12T16:44:11"	"1239554651"	"To Hell We Ride"	"1f94796d-1c00-438b-87e2-9409117b626e"	"Lostprophets"	"ef6e2e49-aa93-41bd-89b0-8c7d2f260a83"	"To Hell We Ride"	"1f94796d-1c00-438b-87e2-9409117b626e"	"Lostprophets"	"ef6e2e49-aa93-41bd-89b0-8c7d2f260a83"	"Start Something"	"5d52f1e3-4e3a-484e-97b2-767bdd42df18"	"Lostprophets"	"ef6e2e49-aa93-41bd-89b0-8c7d2f260a83"
"2009-04-12T16:44:20"	"1239554660"	"Glitterball"	""	"FC/Kahuna"	""	"Glitterball"	""	"FC/Kahuna"	""	"Machine Says Yes"	""	"FC/Kahuna"	""
"2009-04-12T16:44:26"	"1239554666"	"Two-Lane Blacktop"	"7547bb03-1b5c-4ae2-a8d4-d75bc2e603aa"	"Rob Zombie"	"c995a379-60b9-404b-bd97-a7e2de0751d3"	"Two-Lane Blacktop"	"7547bb03-1b5c-4ae2-a8d4-d75bc2e603aa"	"Rob Zombie"	"c995a379-60b9-404b-bd97-a7e2de0751d3"	"Greatest Hits: Past, Present & Future"	""	"Rob Zombie"	"c995a379-60b9-404b-bd97-a7e2de0751d3"
"2009-04-12T16:44:33"	"1239554673"	"Throw It Up"	""	"Lil Jon & The East Side Boyz"	"243c6f61-d83b-4459-bebd-5899df0da111"	"Throw It Up"	""	"Lil Jon & The East Side Boyz"	"243c6f61-d83b-4459-bebd-5899df0da111"	"Kings Of Crunk"	"e4eb5f4f-2fa2-4615-8288-d6e07d6c5e92"	"Lil Jon & The East Side Boyz"	"243c6f61-d83b-4459-bebd-5899df0da111"
"2009-04-12T16:45:05"	"1239554705"	"Fortress Europe"	"09c88611-bb48-4f77-87dc-f46c4949962a"	"Asian Dub Foundation"	"db612997-f11e-424d-8b41-cf410a433656"	"Fortress Europe"	"09c88611-bb48-4f77-87dc-f46c4949962a"	"Asian Dub Foundation"	"db612997-f11e-424d-8b41-cf410a433656"	"Enemy Of The Enemy"	"1c51d061-6a91-438f-925d-35e499d23a49"	"Asian Dub Foundation"	"db612997-f11e-424d-8b41-cf410a433656"
"2009-04-12T16:45:08"	"1239554708"	"Doomsday"	"2a57242d-93e1-4a93-ab7a-52f503e61dc1"	"Overseer"	"48f24031-f0fa-48fe-b057-1fed2db77e66"	"Doomsday"	"2a57242d-93e1-4a93-ab7a-52f503e61dc1"	"Overseer"	"48f24031-f0fa-48fe-b057-1fed2db77e66"	"Wreckage"	"ac078d45-f237-4920-98bb-1c8b804e219d"	"Overseer"	"48f24031-f0fa-48fe-b057-1fed2db77e66"
"2009-04-12T16:45:17"	"1239554717"	"Nothing But You"	""	"Paul van Dyk"	"092ca127-2e07-4cbd-9cba-e412b4ddddd9"	"Nothing But You"	""	"Paul van Dyk"	"092ca127-2e07-4cbd-9cba-e412b4ddddd9"	"Ultimate Dance"	"1009c6d5-a35f-43af-967e-682a06da595e"	"Various Artists"	"023671ff-b1ad-4133-a4f3-aadaaadfd2e0"
"2009-04-12T16:45:24"	"1239554724"	"Broken Promises"	"07137441-674d-4a6d-98b6-2ab0af374fb7"	"Element Eighty"	"93336372-424a-4c88-8e79-890053f63337"	"Broken Promises"	"07137441-674d-4a6d-98b6-2ab0af374fb7"	"Element Eighty"	"93336372-424a-4c88-8e79-890053f63337"	"Element Eighty"	"78408ce6-5563-49c8-854a-6bf7698da886"	"Element Eighty"	"93336372-424a-4c88-8e79-890053f63337"
"2009-04-12T16:45:30"	"1239554730"	"Snapshot"	"5154fd75-43b7-4767-841c-73e711005d7c"	"Fluke"	"3c3d3ad8-3935-4c00-affb-768563916f36"	"Snapshot"	"5154fd75-43b7-4767-841c-73e711005d7c"	"Fluke"	"3c3d3ad8-3935-4c00-affb-768563916f36"	"Puppy"	"a80b68e3-227b-4536-9b25-9c0aa51c1359"	"Fluke"	"3c3d3ad8-3935-4c00-affb-768563916f36"
